collection_date,latitude,longitude,Enterococcus Bacteria (MPN/100mL) - A2LA Lab,Enterococcus Bacteria (MPN/100mL) - BWB Lab
2013-09-25,39.254674,-76.594605,0.0,
2013-10-02,39.153209,-76.507068,0.0,
2013-10-02,39.160976,-76.528152,10.0,
2013-10-02,39.213125,-76.4534,0.0,
2013-10-02,39.175159,-76.523868,20.0,
2013-10-02,39.246741,-76.491001,0.0,
2013-10-02,39.223374,-76.56862,0.0,
2013-10-02,39.213094,-76.522536,0.0,
2013-10-02,39.187325,-76.494584,0.0,
2013-10-02,39.181426,-76.458249,0.0,
2013-10-02,39.197375,-76.574604,0.0,
2013-10-02,39.126776,-76.445482,10.0,
2013-10-09,39.254541,-76.573837,10.0,
2013-10-09,39.235341,-76.555953,40.0,
2013-10-09,39.283701,-76.603718,630.0,
2013-10-09,39.276857,-76.596738,70.0,
2013-10-09,39.276491,-76.584021,10.0,
2013-10-09,39.276674,-76.573921,40.0,
2013-10-09,39.262607,-76.575771,10.0,
2013-10-09,39.263507,-76.623106,280.0,
2013-10-09,39.248491,-76.610539,170.0,
2013-10-09,39.25579,-76.610105,220.0,
2013-10-09,39.254674,-76.594605,100.0,
2013-10-16,39.153209,-76.507068,20.0,
2013-10-16,39.160976,-76.528152,0.0,
2013-10-16,39.213125,-76.4534,0.0,
2013-10-16,39.175159,-76.523868,0.0,
2013-10-16,39.246741,-76.491001,10.0,
2013-10-16,39.223374,-76.56862,20.0,
2013-10-16,39.213094,-76.522536,10.0,
2013-10-16,39.187325,-76.494584,10.0,
2013-10-16,39.181426,-76.458249,0.0,
2013-10-16,39.197375,-76.574604,0.0,
2013-10-16,39.126776,-76.445482,0.0,
2013-10-23,39.254541,-76.573837,10.0,
2013-10-23,39.235341,-76.555953,30.0,
2013-10-23,39.283701,-76.603718,120.0,
2013-10-23,39.276857,-76.596738,60.0,
2013-10-23,39.276491,-76.584021,10.0,
2013-10-23,39.276674,-76.573921,0.0,
2013-10-23,39.262607,-76.575771,40.0,
2013-10-23,39.263507,-76.623106,70.0,
2013-10-23,39.248491,-76.610539,20.0,
2013-10-23,39.25579,-76.610105,0.0,
2013-10-23,39.254674,-76.594605,0.0,
2013-10-30,39.153209,-76.507068,0.0,
2013-10-30,39.160976,-76.528152,0.0,
2013-10-30,39.213125,-76.4534,0.0,
2013-10-30,39.175159,-76.523868,0.0,
2013-10-30,39.246741,-76.491001,20.0,
2013-10-30,39.223374,-76.56862,10.0,
2013-10-30,39.213094,-76.522536,0.0,
2013-10-30,39.187325,-76.494584,0.0,
2013-10-30,39.181426,-76.458249,0.0,
2013-10-30,39.197375,-76.574604,0.0,
2013-10-30,39.126776,-76.445482,0.0,
2013-11-06,39.254541,-76.573837,10.0,
2013-11-06,39.235341,-76.555953,0.0,
2013-11-06,39.283701,-76.603718,470.0,
2013-11-06,39.276857,-76.596738,200.0,
2013-11-06,39.276491,-76.584021,10.0,
2013-11-06,39.276674,-76.573921,0.0,
2013-11-06,39.262607,-76.575771,10.0,
2013-11-06,39.263507,-76.623106,10.0,
2013-11-06,39.248491,-76.610539,20.0,
2013-11-06,39.25579,-76.610105,10.0,
2013-11-06,39.254674,-76.594605,20.0,
2013-11-20,39.254541,-76.573837,0.0,
2013-11-20,39.235341,-76.555953,0.0,
2013-11-20,39.283701,-76.603718,280.0,
2013-11-20,39.276857,-76.596738,40.0,
2013-11-20,39.276491,-76.584021,10.0,
2013-11-20,39.276674,-76.573921,10.0,
2013-11-20,39.262607,-76.575771,0.0,
2013-11-20,39.263507,-76.623106,60.0,
2013-11-20,39.248491,-76.610539,50.0,
2013-11-20,39.25579,-76.610105,10.0,
2013-11-20,39.254674,-76.594605,0.0,
2014-04-02,39.254541,-76.573837,90.0,
2014-04-02,39.235341,-76.555953,60.0,
2014-04-02,39.283701,-76.603718,420.0,
2014-04-02,39.276857,-76.596738,130.0,
2014-04-02,39.276491,-76.584021,110.0,
2014-04-02,39.276674,-76.573921,50.0,
2014-04-02,39.262607,-76.575771,90.0,
2014-04-02,39.263507,-76.623106,40.0,
2014-04-02,39.248491,-76.610539,80.0,
2014-04-02,39.25579,-76.610105,130.0,
2014-04-02,39.254674,-76.594605,30.0,
2014-04-22,39.254541,-76.573837,30.0,
2014-04-22,39.235341,-76.555953,10.0,
2014-04-22,39.283701,-76.603718,50.0,
2014-04-22,39.276857,-76.596738,30.0,
2014-04-22,39.276491,-76.584021,10.0,
2014-04-22,39.276674,-76.573921,10.0,
2014-04-22,39.262607,-76.575771,40.0,
2014-04-22,39.263507,-76.623106,40.0,
2014-04-22,39.248491,-76.610539,0.0,
2014-04-22,39.25579,-76.610105,10.0,
2014-04-22,39.254674,-76.594605,0.0,
2014-05-01,39.153209,-76.507068,280.0,
