latitude,longitude,year,month,Enterococcus Bacteria (MPN/100mL) - A2LA Lab,Enterococcus Bacteria (MPN/100mL) - BWB Lab
39.175159,-76.523868,2015,5,73.81072943878158,
39.175159,-76.523868,2015,6,117.08811393699831,
39.175159,-76.523868,2015,7,222.0358985525959,
39.175159,-76.523868,2015,8,243.48707642910892,
39.175159,-76.523868,2015,9,4.6589769879243565,
39.175159,-76.523868,2015,10,60.934913923286025,
39.175159,-76.523868,2015,11,17.10151761517615,
39.175159,-76.523868,2015,12,49.73249409913454,
39.175159,-76.523868,2016,4,125.45955882352942,
39.175159,-76.523868,2016,5,56.84203271518005,
39.175159,-76.523868,2016,6,241.30126558138727,
39.175159,-76.523868,2016,7,12.51046091862826,
39.175159,-76.523868,2016,8,249.26937158564613,
39.175159,-76.523868,2016,9,4.414931267562847,
39.175159,-76.523868,2016,10,54.532062723473075,
39.175159,-76.523868,2016,11,18.437344173441733,
39.175159,-76.523868,2016,12,49.842643587726194,
39.175159,-76.523868,2017,4,85.72426470588235,
39.175159,-76.523868,2017,5,73.86721755477262,
39.175159,-76.523868,2017,6,218.072382009096,
39.175159,-76.523868,2017,7,93.31280522747922,
39.175159,-76.523868,2017,8,248.54353626000483,
39.175159,-76.523868,2017,9,4.451150603782183,
39.175159,-76.523868,2017,10,43.53376379809239,
39.175159,-76.523868,2017,11,17.262682926829267,
39.175159,-76.523868,2017,12,49.70889063729347,
39.175159,-76.523868,2018,4,90.09558823529412,
39.175159,-76.523868,2018,5,66.84894073581218,
39.175159,-76.523868,2018,6,149.5548823124888,
39.175159,-76.523868,2018,7,191.3041679897421,
39.175159,-76.523868,2018,8,253.46234693433334,
39.175159,-76.523868,2018,9,5.139750892382471,
39.175159,-76.523868,2018,10,62.36666244483199,
39.175159,-76.523868,2018,11,17.14731707317073,
39.175159,-76.523868,2018,12,49.64594807238395,
39.175159,-76.523868,2019,4,94.74901960784314,
39.175159,-76.523868,2019,5,77.05068641601976,
39.175159,-76.523868,2019,6,297.9498442583635,
39.175159,-76.523868,2019,7,142.80897758838367,
39.175159,-76.523868,2019,8,237.62871819747878,
39.175159,-76.523868,2019,9,4.010021265284423,
39.175159,-76.523868,2019,10,55.77408443019846,
39.175159,-76.523868,2019,11,17.1989972899729,
39.175159,-76.523868,2019,12,49.72462627852085,
39.175159,-76.523868,2020,4,133.2806347691206,
39.175159,-76.523868,2020,5,54.766234967578974,
39.175159,-76.523868,2020,6,287.8002201764879,
39.175159,-76.523868,2020,7,13.82728084403965,
39.175159,-76.523868,2020,8,244.55008488964344,
39.175159,-76.523868,2020,9,0.0,
39.181426,-76.458249,2009,5,0.5997474747474747,
39.181426,-76.458249,2009,6,17.76748784984079,
39.181426,-76.458249,2009,7,2.7591678411863496,
39.181426,-76.458249,2009,8,5.8324844368986986,
39.181426,-76.458249,2009,9,0.8811188811188811,
39.181426,-76.458249,2009,10,1.348037686404193,
39.181426,-76.458249,2009,11,3.21629646124441,
39.181426,-76.458249,2009,12,9.747545582047685,
39.181426,-76.458249,2010,4,4.04468764249886,
39.181426,-76.458249,2010,5,0.5474095796676441,
39.181426,-76.458249,2010,6,18.618568795039383,
39.181426,-76.458249,2010,7,2.817969044423434,
39.181426,-76.458249,2010,8,5.77815506508206,
39.181426,-76.458249,2010,9,1.0594405594405594,
39.181426,-76.458249,2010,10,1.374087477381918,
39.181426,-76.458249,2010,11,3.2994148465673265,
39.181426,-76.458249,2010,12,9.7054698457223,
39.181426,-76.458249,2011,4,4.1039671682626535,
39.181426,-76.458249,2011,5,0.5913978494623655,
39.181426,-76.458249,2011,6,16.648768225238815,
39.181426,-76.458249,2011,7,2.7703213464772216,
39.181426,-76.458249,2011,8,5.891907187323146,
39.181426,-76.458249,2011,9,0.9976689976689977,
39.181426,-76.458249,2011,10,1.3296312472702314,
39.181426,-76.458249,2011,11,3.274115929657877,
39.181426,-76.458249,2011,12,9.73352033660589,
39.181426,-76.458249,2012,4,3.7833763996554697,
39.181426,-76.458249,2012,5,0.439882697947214,
39.181426,-76.458249,2012,6,18.36537623596447,
39.181426,-76.458249,2012,7,2.3011228916018225,
39.181426,-76.458249,2012,8,5.813242784380305,
39.181426,-76.458249,2012,9,1.3181818181818181,
39.181426,-76.458249,2012,10,1.3726835964310227,
39.181426,-76.458249,2012,11,3.380659008950497,
39.181426,-76.458249,2012,12,9.887798036465638,
39.181426,-76.458249,2013,4,4.113372093023256,
39.181426,-76.458249,2013,5,0.6549364613880744,
39.181426,-76.458249,2013,6,17.281347410759174,
39.181426,-76.458249,2013,7,2.6775290213920204,
39.181426,-76.458249,2013,8,5.983022071307301,
39.181426,-76.458249,2013,9,0.8723776223776223,
39.181426,-76.458249,2013,10,1.3137205964934173,
39.181426,-76.458249,2013,11,3.2568056560708123,
39.181426,-76.458249,2013,12,9.670406732117813,
39.181426,-76.458249,2014,4,4.091569767441861,
39.181426,-76.458249,2014,5,0.5083088954056696,
39.181426,-76.458249,2014,6,18.10487682252388,
39.181426,-76.458249,2014,7,2.706968909412361,
39.181426,-76.458249,2014,8,5.910016977928693,
39.181426,-76.458249,2014,9,0.9627039627039626,
39.181426,-76.458249,2014,10,1.4528607974043803,
39.181426,-76.458249,2014,11,3.1718996455677413,
39.181426,-76.458249,2014,12,9.754558204768582,
39.181426,-76.458249,2015,4,4.120639534883721,
39.181426,-76.458249,2015,5,0.5180840664711632,
39.181426,-76.458249,2015,6,18.050175967823026,
39.181426,-76.458249,2015,7,2.5070588561083786,
39.181426,-76.458249,2015,8,5.86700622524052,
39.181426,-76.458249,2015,9,1.0413752913752914,
39.181426,-76.458249,2015,10,1.3447619641854371,
39.181426,-76.458249,2015,11,3.2040521565934914,
39.181426,-76.458249,2015,12,9.761570827489482,
39.181426,-76.458249,2016,4,3.5163652024117145,
39.181426,-76.458249,2016,5,0.5034213098729228,
39.181426,-76.458249,2016,6,18.138562091503267,
39.181426,-76.458249,2016,7,2.6031009331861914,
39.181426,-76.458249,2016,8,6.074702886247878,
39.181426,-76.458249,2016,9,0.9918414918414917,
39.181426,-76.458249,2016,10,1.2678604854308355,
39.181426,-76.458249,2016,11,3.3398560002969067,
39.181426,-76.458249,2016,12,9.859747545582048,
39.181426,-76.458249,2017,4,4.280523255813954,
39.181426,-76.458249,2017,5,0.4301075268817204,
39.181426,-76.458249,2017,6,17.884196413608176,
39.181426,-76.458249,2017,7,2.5483572486908765,
39.181426,-76.458249,2017,8,6.066779852857952,
39.181426,-76.458249,2017,9,1.2517482517482519,
39.181426,-76.458249,2017,10,1.1684969114619081,
39.181426,-76.458249,2017,11,3.2459871216760376,
39.181426,-76.458249,2017,12,9.740532959326789,
39.181426,-76.458249,2018,4,4.033430232558139,
39.181426,-76.458249,2018,5,0.5278592375366569,
39.181426,-76.458249,2018,6,18.287414110943523,
39.181426,-76.458249,2018,7,2.5219407367503495,
39.181426,-76.458249,2018,8,6.200339558573854,
39.181426,-76.458249,2018,9,1.0116550116550116,
39.181426,-76.458249,2018,10,1.403412990578399,
39.181426,-76.458249,2018,11,3.322524077269944,
39.181426,-76.458249,2018,12,9.684431977559607,
39.181426,-76.458249,2019,4,3.9801356589147288,
39.181426,-76.458249,2019,5,0.5376344086021506,
39.181426,-76.458249,2019,6,17.477660465895763,
39.181426,-76.458249,2019,7,2.694867260351272,
39.181426,-76.458249,2019,8,5.802490096208262,
39.181426,-76.458249,2019,9,1.111888111888112,
39.181426,-76.458249,2019,10,1.3018656017969676,
39.181426,-76.458249,2019,11,3.2449108352353915,
39.181426,-76.458249,2019,12,9.754558204768582,
39.181426,-76.458249,2020,4,3.891928864569084,
39.181426,-76.458249,2020,5,0.5669599217986314,
39.181426,-76.458249,2020,6,18.270990447461035,
39.181426,-76.458249,2020,7,2.3218299395152306,
39.181426,-76.458249,2020,8,5.908885116015846,
39.181426,-76.458249,2020,9,0.0,
39.187325,-76.494584,2009,5,0.9870989444160175,
39.187325,-76.494584,2009,6,57.86148614125659,
39.187325,-76.494584,2009,7,13.059990889584158,
39.187325,-76.494584,2009,8,0.0,
39.187325,-76.494584,2009,9,1.6083916083916086,
39.187325,-76.494584,2009,10,2.4156891495601176,
39.187325,-76.494584,2009,11,11.402048655569784,
39.187325,-76.494584,2009,12,0.0,
39.187325,-76.494584,2010,4,23.583523830988337,
39.187325,-76.494584,2010,5,2.7571680424443654,
39.187325,-76.494584,2010,6,60.66742612825827,
39.187325,-76.494584,2010,7,12.145299145299145,
39.187325,-76.494584,2010,8,0.0,
39.187325,-76.494584,2010,9,1.8624708624708624,
39.187325,-76.494584,2010,10,2.4780058651026393,
39.187325,-76.494584,2010,11,10.853606487409305,
39.187325,-76.494584,2010,12,0.0,
39.187325,-76.494584,2011,4,23.495830516114495,
39.187325,-76.494584,2011,5,3.0895213290286407,
39.187325,-76.494584,2011,6,54.140020110608354,
39.187325,-76.494584,2011,7,9.98428453267163,
39.187325,-76.494584,2011,8,0.0,
39.187325,-76.494584,2011,9,1.815850815850816,
39.187325,-76.494584,2011,10,2.6099706744868034,
39.187325,-76.494584,2011,11,11.868331199317115,
39.187325,-76.494584,2011,12,0.0,
39.187325,-76.494584,2012,4,23.032638001986662,
39.187325,-76.494584,2012,5,2.067634609076319,
39.187325,-76.494584,2012,6,59.39518980408507,
39.187325,-76.494584,2012,7,11.30941249805205,
39.187325,-76.494584,2012,8,0.0,
39.187325,-76.494584,2012,9,2.303030303030303,
